Processes,Time(s),Speedup,Efficiency(%),Imbalance,Boundary(%)
1,0.1890,1.00,100.0,1.00,6.0
2,0.1473,1.28,64.2,1.00,57.0
4,0.0845,2.24,55.9,1.00,41.0
8,0.0858,2.20,27.5,1.03,37.8
