Processes,Time(s),Speedup,Efficiency(%),Imbalance,Boundary(%)
1,0.2451,1.00,100.0,1.00,20.0
2,0.2428,1.01,50.5,2.42,6.0
4,0.2105,1.16,29.1,3.06,34.0
8,0.2450,1.00,12.5,9.40,27.5
